pair,listener,crit_half,crit_order_bin,condition,prop_target_fix,prop_compet_fix,num_trials,numtNA,numcNA
9,17,firsthalf,2,Two Contrasts Shared,1,0.6666666666666666,6,0,0
9,17,firsthalf,2,Two Contrasts Privileged,0.75,0.75,4,0,0
9,17,firsthalf,2,One Contrast,1,0,4,0,0
9,17,secondhalf,3,Two Contrasts Shared,0.8333333333333334,0.5,6,0,0
9,17,secondhalf,3,Two Contrasts Privileged,1,0.75,4,0,0
9,17,secondhalf,3,One Contrast,0.5,0.25,4,0,0
9,17,secondhalf,4,Two Contrasts Shared,1,0.5714285714285714,7,0,0
9,17,secondhalf,4,Two Contrasts Privileged,1,0.5,4,0,0
9,17,secondhalf,4,One Contrast,0.25,0.25,4,0,0
9,18,firsthalf,1,Two Contrasts Shared,0.5,0.5,6,0,0
9,18,firsthalf,1,Two Contrasts Privileged,0.6666666666666666,0.6666666666666666,3,0,0
9,18,firsthalf,1,One Contrast,1,0,3,0,0
9,18,firsthalf,2,Two Contrasts Shared,0.8333333333333334,0.5,6,0,0
9,18,firsthalf,2,Two Contrasts Privileged,1,1,4,0,0
9,18,firsthalf,2,One Contrast,0.75,1,4,0,0
9,18,secondhalf,3,Two Contrasts Shared,0.42857142857142855,0.5714285714285714,7,0,0
9,18,secondhalf,3,Two Contrasts Privileged,1,0.25,4,0,0
9,18,secondhalf,3,One Contrast,0.25,1,4,0,0
9,18,secondhalf,4,Two Contrasts Shared,0.8571428571428571,0.42857142857142855,7,0,0
9,18,secondhalf,4,Two Contrasts Privileged,1,0.4,5,0,0
9,18,secondhalf,4,One Contrast,0.75,0,4,0,0
10,19,firsthalf,1,Two Contrasts Shared,0.8333333333333334,0.5,6,0,0
10,19,firsthalf,1,Two Contrasts Privileged,1,0.6666666666666666,3,0,0
10,19,firsthalf,1,One Contrast,1,0.3333333333333333,3,0,0
10,19,firsthalf,2,Two Contrasts Shared,0.5714285714285714,0.5714285714285714,7,0,0
10,19,firsthalf,2,Two Contrasts Privileged,1,0.75,4,0,0
10,19,firsthalf,2,One Contrast,0.6666666666666666,0.6666666666666666,3,0,0
10,19,secondhalf,3,Two Contrasts Shared,0.8571428571428571,0.5714285714285714,7,0,0
10,19,secondhalf,3,Two Contrasts Privileged,1,0.5,4,0,0
10,19,secondhalf,3,One Contrast,1,0.3333333333333333,3,0,0
10,19,secondhalf,4,Two Contrasts Shared,0.8571428571428571,0.7142857142857143,7,0,0
10,19,secondhalf,4,Two Contrasts Privileged,1,0.5,4,0,0
10,19,secondhalf,4,One Contrast,0.75,0.75,4,0,0
10,20,firsthalf,1,Two Contrasts Shared,0.8,0.6,5,0,0
10,20,firsthalf,1,Two Contrasts Privileged,0.6666666666666666,0,3,0,0
10,20,firsthalf,1,One Contrast,1,0.5,2,0,0
10,20,firsthalf,2,Two Contrasts Shared,0.8,0.8,5,0,0
10,20,firsthalf,2,Two Contrasts Privileged,0.75,0.25,4,0,0
10,20,firsthalf,2,One Contrast,1,0,3,0,0
10,20,secondhalf,3,Two Contrasts Shared,0.8333333333333334,0.6666666666666666,6,0,0
10,20,secondhalf,3,Two Contrasts Privileged,0.5,0,4,0,0
10,20,secondhalf,3,One Contrast,1,0.3333333333333333,3,0,0
10,20,secondhalf,4,Two Contrasts Shared,0.6666666666666666,0,6,0,0
10,20,secondhalf,4,Two Contrasts Privileged,1,0,4,0,0
10,20,secondhalf,4,One Contrast,1,0,3,0,0
11,21,firsthalf,1,Two Contrasts Shared,0.7142857142857143,0.42857142857142855,7,0,0
11,21,firsthalf,1,Two Contrasts Privileged,1,0.3333333333333333,3,0,0
11,21,firsthalf,1,One Contrast,0.6666666666666666,0.3333333333333333,3,0,0
11,21,firsthalf,2,Two Contrasts Shared,0.8571428571428571,0.8571428571428571,7,0,0
11,21,firsthalf,2,Two Contrasts Privileged,0.6666666666666666,0.3333333333333333,3,0,0
11,21,firsthalf,2,One Contrast,1,0.3333333333333333,3,0,0
11,21,secondhalf,3,Two Contrasts Shared,0.8571428571428571,0.5714285714285714,7,0,0
11,21,secondhalf,3,Two Contrasts Privileged,0.6666666666666666,0.6666666666666666,3,0,0
11,21,secondhalf,3,One Contrast,0.75,0,4,0,0
11,21,secondhalf,4,Two Contrasts Shared,0.625,0.375,8,0,0
11,21,secondhalf,4,Two Contrasts Privileged,0.75,0.25,4,0,0
11,21,secondhalf,4,One Contrast,1,0,4,0,0
11,22,firsthalf,1,Two Contrasts Shared,0.3333333333333333,0.3333333333333333,6,0,0
11,22,firsthalf,1,Two Contrasts Privileged,0.6666666666666666,0,3,0,0
11,22,firsthalf,1,One Contrast,0.3333333333333333,0,3,0,0
11,22,firsthalf,2,Two Contrasts Shared,0.8333333333333334,0.16666666666666666,6,0,0
11,22,firsthalf,2,Two Contrasts Privileged,0.75,0.25,4,0,0
11,22,firsthalf,2,One Contrast,0,0.3333333333333333,3,0,0
11,22,secondhalf,3,Two Contrasts Shared,0.6666666666666666,0.3333333333333333,6,0,0
11,22,secondhalf,3,Two Contrasts Privileged,0.75,0,4,0,0
11,22,secondhalf,3,One Contrast,0.6666666666666666,0,3,0,0
11,22,secondhalf,4,Two Contrasts Shared,0.5714285714285714,0.7142857142857143,7,0,0
11,22,secondhalf,4,Two Contrasts Privileged,1,0.2,5,0,0
11,22,secondhalf,4,One Contrast,1,0.25,4,0,0
14,27,firsthalf,1,Two Contrasts Shared,0.6,0.2,5,0,0
14,27,firsthalf,1,Two Contrasts Privileged,1,0.5,2,0,0
14,27,firsthalf,1,One Contrast,0,0,1,0,0
14,27,firsthalf,2,Two Contrasts Shared,0.8,0.2,5,0,0
14,27,firsthalf,2,Two Contrasts Privileged,0.6666666666666666,0.3333333333333333,3,0,0
14,27,firsthalf,2,One Contrast,1,0.5,2,0,0
14,27,secondhalf,3,Two Contrasts Shared,0.6666666666666666,0.16666666666666666,6,0,0
14,27,secondhalf,3,Two Contrasts Privileged,0,0.6666666666666666,3,0,0
14,27,secondhalf,3,One Contrast,1,0,2,0,0
14,27,secondhalf,4,Two Contrasts Shared,0.6666666666666666,0.5,6,0,0
14,27,secondhalf,4,Two Contrasts Privileged,0.5,1,4,0,0
14,27,secondhalf,4,One Contrast,1,0,2,0,0
14,28,firsthalf,1,Two Contrasts Shared,0.6666666666666666,0.5,6,0,0
14,28,firsthalf,1,Two Contrasts Privileged,0.6666666666666666,0.6666666666666666,3,0,0
14,28,firsthalf,1,One Contrast,1,1,3,0,0
14,28,firsthalf,2,Two Contrasts Shared,0.8571428571428571,0.42857142857142855,7,0,0
14,28,firsthalf,2,Two Contrasts Privileged,1,0.75,4,0,0
14,28,firsthalf,2,One Contrast,0.6666666666666666,1,3,0,0
14,28,secondhalf,3,Two Contrasts Shared,0.5714285714285714,0.7142857142857143,7,0,0
14,28,secondhalf,3,Two Contrasts Privileged,1,0.25,4,0,0
14,28,secondhalf,3,One Contrast,1,0,4,0,0
14,28,secondhalf,4,Two Contrasts Shared,0.7142857142857143,0.5714285714285714,7,0,0
14,28,secondhalf,4,Two Contrasts Privileged,0.5,0.75,4,0,0
14,28,secondhalf,4,One Contrast,0.75,0.5,4,0,0
15,29,firsthalf,1,Two Contrasts Shared,0.8571428571428571,0.42857142857142855,7,0,0
15,29,firsthalf,1,Two Contrasts Privileged,1,0,3,0,0
15,29,firsthalf,1,One Contrast,1,0.3333333333333333,3,0,0
15,29,firsthalf,2,Two Contrasts Shared,0.7142857142857143,0.14285714285714285,7,0,0
15,29,firsthalf,2,Two Contrasts Privileged,0.5,0.75,4,0,0
15,29,firsthalf,2,One Contrast,0.6666666666666666,0.3333333333333333,3,0,0
15,29,secondhalf,3,Two Contrasts Shared,0.25,0.375,8,0,0
15,29,secondhalf,3,Two Contrasts Privileged,0.75,0.5,4,0,0
