pair,listener,crit_half,condition,prop_target_fix,prop_compet_fix,num_trials,numtNA,numcNA
18,35,firsthalf,Two Contrasts Shared,0.5,0.6428571428571429,14,0,0
18,35,firsthalf,Two Contrasts Privileged,0.8571428571428571,0.7142857142857143,7,0,0
18,35,firsthalf,One Contrast,0.8333333333333334,0.5,6,0,0
18,35,secondhalf,Two Contrasts Shared,0.7333333333333333,0.4666666666666667,15,0,0
18,35,secondhalf,Two Contrasts Privileged,1,0.3333333333333333,9,0,0
18,35,secondhalf,One Contrast,0.875,0.625,8,0,0
18,36,firsthalf,Two Contrasts Shared,0.75,0.4166666666666667,12,0,0
18,36,firsthalf,Two Contrasts Privileged,0.8,0.8,5,0,0
18,36,firsthalf,One Contrast,1,0,5,0,0
18,36,secondhalf,Two Contrasts Shared,0.9230769230769231,0.46153846153846156,13,0,0
18,36,secondhalf,Two Contrasts Privileged,1,0.14285714285714285,7,0,0
18,36,secondhalf,One Contrast,1,0.16666666666666666,6,0,0
19,37,firsthalf,Two Contrasts Shared,0.7777777777777778,0.3333333333333333,9,0,0
19,37,firsthalf,Two Contrasts Privileged,0.75,0.5,4,0,0
19,37,firsthalf,One Contrast,1,0.2,5,0,0
19,37,secondhalf,Two Contrasts Shared,0.9090909090909091,0.36363636363636365,11,0,0
19,37,secondhalf,Two Contrasts Privileged,0.8333333333333334,0.16666666666666666,6,0,0
19,37,secondhalf,One Contrast,0.8571428571428571,0.42857142857142855,7,0,0
19,38,firsthalf,Two Contrasts Shared,0.7272727272727273,0.6363636363636364,11,0,0
19,38,firsthalf,Two Contrasts Privileged,0.5,0.5,4,0,0
19,38,firsthalf,One Contrast,0.6666666666666666,0.3333333333333333,3,0,0
19,38,secondhalf,Two Contrasts Shared,0.7692307692307693,0.46153846153846156,13,0,0
19,38,secondhalf,Two Contrasts Privileged,1,0.4,5,0,0
19,38,secondhalf,One Contrast,0.8,0.6,5,0,0
20,39,firsthalf,Two Contrasts Shared,0.6923076923076923,0.5384615384615384,13,0,0
20,39,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.8571428571428571,7,0,0
20,39,firsthalf,One Contrast,0.7142857142857143,0.2857142857142857,7,0,0
20,39,secondhalf,Two Contrasts Shared,0.7142857142857143,0.5,14,0,0
20,39,secondhalf,Two Contrasts Privileged,0.7777777777777778,0.4444444444444444,9,0,0
20,39,secondhalf,One Contrast,0.625,0.5,8,0,0
20,40,firsthalf,Two Contrasts Shared,0.5714285714285714,0.5714285714285714,14,0,0
20,40,firsthalf,Two Contrasts Privileged,0.4,0.8,5,0,0
20,40,firsthalf,One Contrast,1,0.16666666666666666,6,0,0
20,40,secondhalf,Two Contrasts Shared,0.8,0.4666666666666667,15,0,0
20,40,secondhalf,Two Contrasts Privileged,0.8571428571428571,0.42857142857142855,7,0,0
20,40,secondhalf,One Contrast,0.875,0.25,8,0,0
21,41,firsthalf,Two Contrasts Shared,0.9285714285714286,0.5,14,0,0
21,41,firsthalf,Two Contrasts Privileged,0.8333333333333334,0.16666666666666666,6,0,0
21,41,firsthalf,One Contrast,0.8571428571428571,0.5714285714285714,7,0,0
21,41,secondhalf,Two Contrasts Shared,0.875,0.4375,16,0,0
21,41,secondhalf,Two Contrasts Privileged,0.7142857142857143,0.2857142857142857,7,0,0
21,41,secondhalf,One Contrast,0.7777777777777778,0.4444444444444444,9,0,0
21,42,firsthalf,Two Contrasts Shared,1,0.3333333333333333,12,0,0
21,42,firsthalf,Two Contrasts Privileged,1,0.3333333333333333,6,0,0
21,42,firsthalf,One Contrast,0.6,0.4,5,0,0
21,42,secondhalf,Two Contrasts Shared,0.5714285714285714,0.42857142857142855,14,0,0
21,42,secondhalf,Two Contrasts Privileged,0.2857142857142857,0,7,0,0
21,42,secondhalf,One Contrast,1,1,6,0,0
22,43,firsthalf,Two Contrasts Shared,0.9285714285714286,0.5,14,0,0
22,43,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.7142857142857143,7,0,0
22,43,firsthalf,One Contrast,1,0.2,5,0,0
22,43,secondhalf,Two Contrasts Shared,0.8,0.26666666666666666,15,0,0
22,43,secondhalf,Two Contrasts Privileged,0.8888888888888888,0.4444444444444444,9,0,0
22,43,secondhalf,One Contrast,1,0.42857142857142855,7,0,0
22,44,firsthalf,Two Contrasts Shared,0.9285714285714286,0.42857142857142855,14,0,0
22,44,firsthalf,Two Contrasts Privileged,0.8571428571428571,0.42857142857142855,7,0,0
22,44,firsthalf,One Contrast,0.8571428571428571,0.14285714285714285,7,0,0
22,44,secondhalf,Two Contrasts Shared,0.8125,0.4375,16,0,0
22,44,secondhalf,Two Contrasts Privileged,0.8888888888888888,0.4444444444444444,9,0,0
22,44,secondhalf,One Contrast,1,0.25,8,0,0
23,45,firsthalf,Two Contrasts Shared,0.7857142857142857,0.5,14,0,0
23,45,firsthalf,Two Contrasts Privileged,0.8333333333333334,0.16666666666666666,6,0,0
23,45,firsthalf,One Contrast,0.8333333333333334,0.3333333333333333,6,0,0
23,45,secondhalf,Two Contrasts Shared,0.6875,0.5,16,0,0
23,45,secondhalf,Two Contrasts Privileged,1,0.125,8,0,0
23,45,secondhalf,One Contrast,1,0.5,8,0,0
23,46,firsthalf,Two Contrasts Shared,0.8666666666666667,0.4,15,0,0
