pair,listener,condition,prop_target_fix,prop_compet_fix,num_trials,numtNA,numcNA
30,59,One Contrast,1,0.14285714285714285,14,0,0
30,60,Two Contrasts Shared,0.72,0.6,25,0,0
30,60,Two Contrasts Privileged,0.8,0.5,10,0,0
30,60,One Contrast,0.8571428571428571,0.5714285714285714,14,0,0
31,61,Two Contrasts Shared,0.6875,0.4375,32,0,0
31,61,Two Contrasts Privileged,0.6875,0.5,16,0,0
31,61,One Contrast,0.6666666666666666,0.3333333333333333,15,0,0
31,62,Two Contrasts Shared,0.8333333333333334,0.5666666666666667,30,0,0
31,62,Two Contrasts Privileged,0.7692307692307693,0.5384615384615384,13,0,0
31,62,One Contrast,0.8666666666666667,0.6666666666666666,15,0,0
32,63,Two Contrasts Shared,0.8333333333333334,0.5,30,0,0
32,63,Two Contrasts Privileged,0.75,0.5,12,0,0
32,63,One Contrast,1,0.25,16,0,0
32,64,Two Contrasts Shared,0.6521739130434783,0.5652173913043478,23,0,0
32,64,Two Contrasts Privileged,0.6363636363636364,0.45454545454545453,11,0,0
32,64,One Contrast,0.6666666666666666,0.25,12,0,0
33,65,Two Contrasts Shared,0.75,0.4642857142857143,28,0,0
33,65,Two Contrasts Privileged,0.8571428571428571,0.42857142857142855,14,0,0
33,65,One Contrast,0.7857142857142857,0.35714285714285715,14,0,0
33,66,Two Contrasts Shared,0.8214285714285714,0.42857142857142855,28,0,0
33,66,Two Contrasts Privileged,0.6923076923076923,0.5384615384615384,13,0,0
33,66,One Contrast,0.7857142857142857,0.42857142857142855,14,0,0
34,67,Two Contrasts Shared,0.90625,0.28125,32,0,0
34,67,Two Contrasts Privileged,0.75,0.625,16,0,0
34,67,One Contrast,0.8666666666666667,0.2,15,0,0
34,68,Two Contrasts Shared,0.6,0.5666666666666667,30,0,0
34,68,Two Contrasts Privileged,0.7333333333333333,0.3333333333333333,15,0,0
34,68,One Contrast,0.8666666666666667,0.2,15,0,0
35,69,Two Contrasts Shared,0.896551724137931,0.3793103448275862,29,0,0
35,69,Two Contrasts Privileged,0.8666666666666667,0.5333333333333333,15,0,0
35,69,One Contrast,0.875,0.4375,16,0,0
35,70,Two Contrasts Shared,0.7419354838709677,0.5161290322580645,31,0,0
35,70,Two Contrasts Privileged,0.8125,0.375,16,0,0
35,70,One Contrast,1,0.25,16,0,0
36,72,Two Contrasts Shared,0.7931034482758621,0.4482758620689655,29,0,0
36,72,Two Contrasts Privileged,0.9375,0.125,16,0,0
36,72,One Contrast,0.9285714285714286,0.2857142857142857,14,0,0
36,73,Two Contrasts Shared,0.7586206896551724,0.4827586206896552,29,0,0
36,73,Two Contrasts Privileged,0.6666666666666666,0.5833333333333334,12,0,0
36,73,One Contrast,0.9333333333333333,0.26666666666666666,15,0,0
38,76,Two Contrasts Shared,0.6842105263157895,0.42105263157894735,19,0,0
38,76,Two Contrasts Privileged,0.8333333333333334,0.16666666666666666,6,0,0
38,76,One Contrast,1,0.4444444444444444,9,0,0
38,77,Two Contrasts Shared,0.8214285714285714,0.5357142857142857,28,0,0
38,77,Two Contrasts Privileged,0.9285714285714286,0.35714285714285715,14,0,0
38,77,One Contrast,0.6875,0.25,16,0,0
39,78,Two Contrasts Shared,0.8888888888888888,0.3333333333333333,27,0,0
39,78,Two Contrasts Privileged,0.8,0.3333333333333333,15,0,0
39,78,One Contrast,0.6666666666666666,0.2,15,0,0
39,79,Two Contrasts Shared,0.9333333333333333,0.4666666666666667,30,0,0
39,79,Two Contrasts Privileged,0.7333333333333333,0.5333333333333333,15,0,0
39,79,One Contrast,1,0.35714285714285715,14,0,0
41,82,Two Contrasts Shared,0.9,0.6333333333333333,30,0,0
41,82,Two Contrasts Privileged,0.875,0.4375,16,0,0
41,82,One Contrast,0.9375,0.375,16,0,0
41,83,Two Contrasts Shared,0.7931034482758621,0.5862068965517241,29,0,0
41,83,Two Contrasts Privileged,0.8571428571428571,0.35714285714285715,14,0,0
41,83,One Contrast,0.9285714285714286,0.2857142857142857,14,0,0
42,84,Two Contrasts Shared,0.6666666666666666,0.43333333333333335,30,0,0
42,84,Two Contrasts Privileged,0.9230769230769231,0.5384615384615384,13,0,0
42,84,One Contrast,0.9375,0.3125,16,0,0
42,85,Two Contrasts Shared,0.8333333333333334,0.6,30,0,0
42,85,Two Contrasts Privileged,1,0.4666666666666667,15,0,0
42,85,One Contrast,1,0.1875,16,0,0
43,86,Two Contrasts Shared,0.7142857142857143,0.4642857142857143,28,0,0
43,86,Two Contrasts Privileged,0.7142857142857143,0.6428571428571429,14,0,0
43,86,One Contrast,1,0.3333333333333333,12,0,0
43,87,Two Contrasts Shared,0.8,0.48,25,0,0
43,87,Two Contrasts Privileged,0.8181818181818182,0.45454545454545453,11,0,0
43,87,One Contrast,0.9230769230769231,0.46153846153846156,13,0,0
44,88,Two Contrasts Shared,0.5833333333333334,0.4583333333333333,24,0,0
44,88,Two Contrasts Privileged,0.8461538461538461,0.6153846153846154,13,0,0
44,88,One Contrast,0.8333333333333334,0.5833333333333334,12,0,0
44,89,Two Contrasts Shared,0.8,0.56,25,0,0
44,89,Two Contrasts Privileged,0.9090909090909091,0.5454545454545454,11,0,0
44,89,One Contrast,1,0.4166666666666667,12,0,0
46,92,Two Contrasts Shared,0.5769230769230769,0.6153846153846154,26,0,0
46,92,Two Contrasts Privileged,0.5,0.7857142857142857,14,0,0
46,92,One Contrast,0.9230769230769231,0.5384615384615384,13,0,0
46,93,Two Contrasts Shared,0.7407407407407407,0.3333333333333333,27,0,0
46,93,Two Contrasts Privileged,0.8181818181818182,0.5454545454545454,11,0,0
46,93,One Contrast,1,0.4,10,0,0
47,94,Two Contrasts Shared,0.4444444444444444,0.25925925925925924,27,0,0
47,94,Two Contrasts Privileged,0.4,0.4666666666666667,15,0,0
47,94,One Contrast,0.3333333333333333,0.08333333333333333,12,0,0
47,95,Two Contrasts Shared,0.8076923076923077,0.5,26,0,0
47,95,Two Contrasts Privileged,0.9,0.5,10,0,0
47,95,One Contrast,1,0.21428571428571427,14,0,0
48,96,Two Contrasts Shared,0.7647058823529411,0.23529411764705882,17,0,0
48,96,Two Contrasts Privileged,0.9230769230769231,0.3076923076923077,13,0,0
48,96,One Contrast,0.5714285714285714,0.7142857142857143,7,0,0
48,97,Two Contrasts Shared,0.8461538461538461,0.6923076923076923,13,0,0
48,97,Two Contrasts Privileged,0.7777777777777778,0.4444444444444444,9,0,0
48,97,One Contrast,1,0,6,0,0
49,98,Two Contrasts Shared,0.5357142857142857,0.25,28,0,0
49,98,Two Contrasts Privileged,0.5,0.375,16,0,0
49,98,One Contrast,0.8461538461538461,0.15384615384615385,13,0,0
49,99,Two Contrasts Shared,0.6666666666666666,0.4666666666666667,30,0,0
49,99,Two Contrasts Privileged,0.7692307692307693,0.5384615384615384,13,0,0
49,99,One Contrast,0.7142857142857143,0.5,14,0,0
50,100,Two Contrasts Shared,0.8125,0.59375,32,0,0
50,100,Two Contrasts Privileged,0.75,0.6875,16,0,0
50,100,One Contrast,1,0.3125,16,0,0
50,101,Two Contrasts Shared,0.6666666666666666,0.5,24,0,0
50,101,Two Contrasts Privileged,0.8333333333333334,0.6666666666666666,12,0,0
50,101,One Contrast,0.9333333333333333,0.4666666666666667,15,0,0
51,102,Two Contrasts Shared,0.9130434782608695,0.34782608695652173,23,0,0
51,102,Two Contrasts Privileged,0.7857142857142857,0.5,14,0,0
51,102,One Contrast,0.8,0.4,10,0,0
51,103,Two Contrasts Shared,0.8846153846153846,0.38461538461538464,26,0,0
51,103,Two Contrasts Privileged,0.9230769230769231,0.3076923076923077,13,0,0
51,103,One Contrast,0.8181818181818182,0.36363636363636365,11,0,0
52,104,Two Contrasts Shared,0.7096774193548387,0.4838709677419355,31,0,0
52,104,Two Contrasts Privileged,0.9333333333333333,0.4666666666666667,15,0,0
52,104,One Contrast,0.875,0.25,16,0,0
52,105,Two Contrasts Shared,0.8076923076923077,0.7692307692307693,26,0,0
52,105,Two Contrasts Privileged,0.6923076923076923,0.38461538461538464,13,0,0
52,105,One Contrast,0.9230769230769231,0.3076923076923077,13,0,0
53,106,Two Contrasts Shared,0.6538461538461539,0.6153846153846154,26,0,0
53,106,Two Contrasts Privileged,0.9166666666666666,0.5833333333333334,12,0,0
53,106,One Contrast,1,0.2857142857142857,14,0,0
53,107,Two Contrasts Shared,0.5925925925925926,0.25925925925925924,27,0,0
53,107,Two Contrasts Privileged,0.8666666666666667,0.3333333333333333,15,0,0
53,107,One Contrast,0.7142857142857143,0.42857142857142855,14,0,0
54,108,Two Contrasts Shared,0.8620689655172413,0.5517241379310345,29,0,0
54,108,Two Contrasts Privileged,0.7857142857142857,0.2857142857142857,14,0,0
54,108,One Contrast,0.5,0.625,16,0,0
54,109,Two Contrasts Shared,0.8,0.35,20,0,0
54,109,Two Contrasts Privileged,0.9230769230769231,0.6923076923076923,13,0,0
54,109,One Contrast,0.6428571428571429,0.42857142857142855,14,0,0
55,110,Two Contrasts Shared,0.7333333333333333,0.5,30,0,0
55,110,Two Contrasts Privileged,0.9375,0.375,16,0,0
55,110,One Contrast,1,0.25,16,0,0
55,111,Two Contrasts Shared,0.8275862068965517,0.6206896551724138,29,0,0
55,111,Two Contrasts Privileged,0.8571428571428571,0.5714285714285714,14,0,0
55,111,One Contrast,0.6875,0.3125,16,0,0
56,112,Two Contrasts Shared,0.6785714285714286,0.5357142857142857,28,0,0
56,112,Two Contrasts Privileged,0.5,0.5625,16,0,0
56,112,One Contrast,0.8181818181818182,0.5454545454545454,11,0,0
56,113,Two Contrasts Shared,0.5806451612903226,0.5806451612903226,31,0,0
56,113,Two Contrasts Privileged,0.7333333333333333,0.26666666666666666,15,0,0
56,113,One Contrast,0.8571428571428571,0.5,14,0,0
57,114,Two Contrasts Shared,0.88,0.4,25,0,0
57,114,Two Contrasts Privileged,0.7272727272727273,0.5454545454545454,11,0,0
57,114,One Contrast,0.9166666666666666,0.08333333333333333,12,0,0
57,115,Two Contrasts Shared,0.8275862068965517,0.4827586206896552,29,0,0
57,115,Two Contrasts Privileged,0.9333333333333333,0.5333333333333333,15,0,0
57,115,One Contrast,0.9285714285714286,0.21428571428571427,14,0,0
58,116,Two Contrasts Shared,0.6818181818181818,0.2727272727272727,22,0,0
58,116,Two Contrasts Privileged,0.875,0.375,8,0,0
58,116,One Contrast,1,0.4,10,0,0
58,117,Two Contrasts Shared,0.8333333333333334,0.5,24,0,0
58,117,Two Contrasts Privileged,0.6666666666666666,0.5,12,0,0
58,117,One Contrast,0.9166666666666666,0.4166666666666667,12,0,0
59,118,Two Contrasts Shared,0.8148148148148148,0.5185185185185185,27,0,0
59,118,Two Contrasts Privileged,0.9285714285714286,0.7142857142857143,14,0,0
59,118,One Contrast,0.875,0.375,16,0,0
59,119,Two Contrasts Shared,0.8148148148148148,0.2222222222222222,27,0,0
59,119,Two Contrasts Privileged,0.7692307692307693,0.3076923076923077,13,0,0
59,119,One Contrast,0.7333333333333333,0.3333333333333333,15,0,0
60,120,Two Contrasts Shared,0.8148148148148148,0.2962962962962963,27,0,0
60,120,Two Contrasts Privileged,0.75,0.5,12,0,0
60,120,One Contrast,0.9333333333333333,0.4,15,0,0
60,121,Two Contrasts Shared,0.6785714285714286,0.42857142857142855,28,0,0
60,121,Two Contrasts Privileged,0.7142857142857143,0.35714285714285715,14,0,0
60,121,One Contrast,1,0.1875,16,0,0
61,122,Two Contrasts Shared,0.75,0.4642857142857143,28,0,0
61,122,Two Contrasts Privileged,0.625,0.5,16,0,0
61,122,One Contrast,0.9285714285714286,0.07142857142857142,14,0,0
61,123,Two Contrasts Shared,0.7586206896551724,0.41379310344827586,29,0,0
61,123,Two Contrasts Privileged,0.8,0.4,15,0,0
61,123,One Contrast,0.9285714285714286,0.35714285714285715,14,0,0
62,124,Two Contrasts Shared,0.7692307692307693,0.34615384615384615,26,0,0
62,124,Two Contrasts Privileged,0.9285714285714286,0.35714285714285715,14,0,0
62,124,One Contrast,0.7857142857142857,0.14285714285714285,14,0,0
62,125,Two Contrasts Shared,0.8571428571428571,0.5,28,0,0
62,125,Two Contrasts Privileged,0.9090909090909091,0.18181818181818182,11,0,0
62,125,One Contrast,0.8,0.3333333333333333,15,0,0
63,126,Two Contrasts Shared,0.7741935483870968,0.41935483870967744,31,0,0
63,126,Two Contrasts Privileged,0.5714285714285714,0.6428571428571429,14,0,0
63,126,One Contrast,0.8125,0.125,16,0,0
63,127,Two Contrasts Shared,0.8064516129032258,0.3870967741935484,31,0,0
63,127,Two Contrasts Privileged,0.8,0.3333333333333333,15,0,0
63,127,One Contrast,0.9285714285714286,0.14285714285714285,14,0,0
64,128,Two Contrasts Shared,0.875,0.3333333333333333,24,0,0
64,128,Two Contrasts Privileged,0.6666666666666666,0.4666666666666667,15,0,0
64,128,One Contrast,0.6666666666666666,0.2222222222222222,9,0,0
64,129,Two Contrasts Shared,0.8461538461538461,0.5769230769230769,26,0,0
64,129,Two Contrasts Privileged,0.9090909090909091,0.45454545454545453,11,0,0
64,129,One Contrast,0.5454545454545454,0.5454545454545454,11,0,0
65,130,Two Contrasts Shared,0.8214285714285714,0.42857142857142855,28,0,0
65,130,Two Contrasts Privileged,0.7692307692307693,0.38461538461538464,13,0,0
65,130,One Contrast,0.6666666666666666,0.5333333333333333,15,0,0
65,131,Two Contrasts Shared,0.8,0.36,25,0,0
65,131,Two Contrasts Privileged,0.8571428571428571,0.2857142857142857,14,0,0
65,131,One Contrast,0.6666666666666666,0.3333333333333333,15,0,0
66,132,Two Contrasts Shared,0.76,0.32,25,0,0
66,132,Two Contrasts Privileged,0.6666666666666666,0.3333333333333333,12,0,0
66,132,One Contrast,0.8333333333333334,0.25,12,0,0
66,133,Two Contrasts Shared,0.64,0.48,25,0,0
66,133,Two Contrasts Privileged,0.6363636363636364,0.5454545454545454,11,0,0
66,133,One Contrast,0.8181818181818182,0.2727272727272727,11,0,0
67,134,Two Contrasts Shared,0.9310344827586207,0.5172413793103449,29,0,0
67,134,Two Contrasts Privileged,0.8666666666666667,0.4,15,0,0
67,134,One Contrast,0.8666666666666667,0.4666666666666667,15,0,0
67,135,Two Contrasts Shared,0.896551724137931,0.6551724137931034,29,0,0
67,135,Two Contrasts Privileged,0.75,0.5625,16,0,0
67,135,One Contrast,1,0.26666666666666666,15,0,0
69,138,Two Contrasts Shared,0.7619047619047619,0.2857142857142857,21,0,0
69,138,Two Contrasts Privileged,0.9230769230769231,0.5384615384615384,13,0,0
69,138,One Contrast,0.9166666666666666,0.25,12,0,0
69,139,Two Contrasts Shared,0.6551724137931034,0.3793103448275862,29,0,0
69,139,Two Contrasts Privileged,0.5333333333333333,0.26666666666666666,15,0,0
69,139,One Contrast,0.6428571428571429,0.2857142857142857,14,0,0
70,140,Two Contrasts Shared,0.5806451612903226,0.4838709677419355,31,0,0
70,140,Two Contrasts Privileged,0.5,0.6875,16,0,0
70,140,One Contrast,0.6,0.6,15,0,0
70,141,Two Contrasts Shared,0.84,0.64,25,0,0
70,141,Two Contrasts Privileged,0.9,0.5,10,0,0
70,141,One Contrast,0.8333333333333334,0.16666666666666666,12,0,0
72,144,Two Contrasts Shared,0.88,0.36,25,0,0
72,144,Two Contrasts Privileged,0.8333333333333334,0.4166666666666667,12,0,0
72,144,One Contrast,0.7142857142857143,0.2857142857142857,14,0,0
72,145,Two Contrasts Shared,0.896551724137931,0.5862068965517241,29,0,0
72,145,Two Contrasts Privileged,0.9333333333333333,0.26666666666666666,15,0,0
72,145,One Contrast,0.9333333333333333,0.26666666666666666,15,0,0
74,148,Two Contrasts Shared,0.8888888888888888,0.25925925925925924,27,0,0
74,148,Two Contrasts Privileged,0.8571428571428571,0.2857142857142857,14,0,0
74,148,One Contrast,0.9230769230769231,0.5384615384615384,13,0,0
74,149,Two Contrasts Shared,0.8333333333333334,0.5,30,0,0
74,149,Two Contrasts Privileged,0.7142857142857143,0.7142857142857143,14,0,0
74,149,One Contrast,0.8125,0.5,16,0,0
75,150,Two Contrasts Shared,0.6666666666666666,0.5185185185185185,27,0,0
75,150,Two Contrasts Privileged,0.7857142857142857,0.42857142857142855,14,0,0
75,150,One Contrast,0.9090909090909091,0.2727272727272727,11,0,0
75,151,Two Contrasts Shared,0.8,0.32,25,0,0
75,151,Two Contrasts Privileged,0.7857142857142857,0.42857142857142855,14,0,0
75,151,One Contrast,0.7142857142857143,0.35714285714285715,14,0,0
76,152,Two Contrasts Shared,0.8333333333333334,0.36666666666666664,30,0,0
76,152,Two Contrasts Privileged,0.9285714285714286,0.2857142857142857,14,0,0
76,152,One Contrast,0.5625,0.375,16,0,0
76,153,Two Contrasts Shared,0.8064516129032258,0.5161290322580645,31,0,0
76,153,Two Contrasts Privileged,0.4666666666666667,0.4666666666666667,15,0,0
76,153,One Contrast,0.8,0.26666666666666666,15,0,0
77,154,Two Contrasts Shared,0.6153846153846154,0.38461538461538464,26,0,0
77,154,Two Contrasts Privileged,0.6153846153846154,0.38461538461538464,13,0,0
77,154,One Contrast,0.6153846153846154,0.5384615384615384,13,0,0
77,155,Two Contrasts Shared,0.7586206896551724,0.5517241379310345,29,0,0
77,155,Two Contrasts Privileged,1,0.5714285714285714,14,0,0
77,155,One Contrast,0.7857142857142857,0.42857142857142855,14,0,0
78,156,Two Contrasts Shared,0.5925925925925926,0.3333333333333333,27,0,0
78,156,Two Contrasts Privileged,0.7142857142857143,0.5,14,0,0
78,156,One Contrast,0.8,0.1,10,0,0
78,157,Two Contrasts Shared,0.92,0.52,25,0,0
78,157,Two Contrasts Privileged,0.75,0.6666666666666666,12,0,0
78,157,One Contrast,0.8666666666666667,0.4666666666666667,15,0,0
79,158,Two Contrasts Shared,0.76,0.48,25,0,0
79,158,Two Contrasts Privileged,1,0.4666666666666667,15,0,0
79,158,One Contrast,0.875,0.25,16,0,0
79,159,Two Contrasts Shared,0.8214285714285714,0.39285714285714285,28,0,0
79,159,Two Contrasts Privileged,0.6666666666666666,0.26666666666666666,15,0,0
79,159,One Contrast,0.875,0.3125,16,0,0
80,160,Two Contrasts Shared,0.8333333333333334,0.4666666666666667,30,0,0
80,160,Two Contrasts Privileged,0.9166666666666666,0.16666666666666666,12,0,0
80,160,One Contrast,0.8461538461538461,0.23076923076923078,13,0,0
80,161,Two Contrasts Shared,0.7037037037037037,0.4444444444444444,27,0,0
80,161,Two Contrasts Privileged,0.7333333333333333,0.3333333333333333,15,0,0
80,161,One Contrast,0.9166666666666666,0.08333333333333333,12,0,0
