pair,speaker,condition,prop_size_adj_use,num_trials,num_NA
53,107,No Contrast,0,16,0
53,107,One Contrast Privileged,1,16,4
53,107,Two Contrasts Shared,0.9629629629629629,32,5
54,108,No Contrast,0,16,0
54,108,One Contrast Privileged,0.5625,16,0
54,108,Two Contrasts Shared,1,32,0
54,109,No Contrast,0.0625,16,0
54,109,One Contrast Privileged,0.9375,16,0
54,109,Two Contrasts Shared,0.96875,32,0
55,110,No Contrast,0,16,0
55,110,One Contrast Privileged,0.3125,16,0
55,110,Two Contrasts Shared,1,32,0
55,111,No Contrast,0,16,0
55,111,One Contrast Privileged,0.3125,16,0
55,111,Two Contrasts Shared,1,32,0
56,112,No Contrast,0.125,16,0
56,112,One Contrast Privileged,1,16,0
56,112,Two Contrasts Shared,1,32,0
56,113,No Contrast,0.5,16,0
56,113,One Contrast Privileged,0.9375,16,0
56,113,Two Contrasts Shared,1,32,0
57,114,No Contrast,0.125,16,0
57,114,One Contrast Privileged,0.4375,16,0
57,114,Two Contrasts Shared,0.96875,32,0
57,115,No Contrast,0,16,0
57,115,One Contrast Privileged,1,16,0
57,115,Two Contrasts Shared,1,32,0
58,116,No Contrast,0.0625,16,0
58,116,One Contrast Privileged,0.75,16,0
58,116,Two Contrasts Shared,0.96875,32,0
58,117,No Contrast,0,16,0
58,117,One Contrast Privileged,0.5,16,0
58,117,Two Contrasts Shared,1,32,0
59,118,No Contrast,0.1875,16,0
59,118,One Contrast Privileged,1,16,0
59,118,Two Contrasts Shared,1,32,0
59,119,No Contrast,0.0625,16,0
59,119,One Contrast Privileged,0.1875,16,0
59,119,Two Contrasts Shared,0.9375,32,0
60,120,No Contrast,0.0625,16,0
60,120,One Contrast Privileged,0.125,16,0
60,120,Two Contrasts Shared,1,32,0
60,121,No Contrast,0.125,16,0
60,121,One Contrast Privileged,0.5,16,0
60,121,Two Contrasts Shared,1,32,0
61,122,No Contrast,0,16,0
61,122,One Contrast Privileged,0.875,16,0
61,122,Two Contrasts Shared,1,32,0
61,123,No Contrast,0,16,0
61,123,One Contrast Privileged,0.9375,16,0
61,123,Two Contrasts Shared,1,32,0
62,124,No Contrast,0,16,0
62,124,One Contrast Privileged,0.375,16,0
62,124,Two Contrasts Shared,0.9375,32,0
62,125,No Contrast,0,16,0
62,125,One Contrast Privileged,0.25,16,0
62,125,Two Contrasts Shared,1,32,0
63,126,No Contrast,0,16,0
63,126,One Contrast Privileged,0.875,16,0
63,126,Two Contrasts Shared,1,32,0
63,127,No Contrast,0.0625,16,0
63,127,One Contrast Privileged,1,16,0
63,127,Two Contrasts Shared,1,32,0
64,128,No Contrast,0.0625,16,0
64,128,One Contrast Privileged,0.4375,16,0
64,128,Two Contrasts Shared,1,32,0
64,129,No Contrast,0.0625,16,0
64,129,One Contrast Privileged,0.875,16,0
64,129,Two Contrasts Shared,1,32,0
65,130,No Contrast,0,16,0
65,130,One Contrast Privileged,0.3125,16,0
65,130,Two Contrasts Shared,0.96875,32,0
65,131,No Contrast,0.0625,16,0
65,131,One Contrast Privileged,0.875,16,0
65,131,Two Contrasts Shared,0.96875,32,0
66,132,No Contrast,0,16,1
66,132,One Contrast Privileged,0.875,16,0
66,132,Two Contrasts Shared,1,32,0
66,133,No Contrast,0,16,0
66,133,One Contrast Privileged,0.75,16,0
66,133,Two Contrasts Shared,0.96875,32,0
67,134,No Contrast,0,16,0
67,134,One Contrast Privileged,0.0625,16,0
67,134,Two Contrasts Shared,0.96875,32,0
67,135,No Contrast,0.0625,16,0
67,135,One Contrast Privileged,0.0625,16,0
67,135,Two Contrasts Shared,1,32,0
69,138,No Contrast,0,16,0
69,138,One Contrast Privileged,0.4375,16,0
69,138,Two Contrasts Shared,1,32,0
69,139,No Contrast,0,16,0
69,139,One Contrast Privileged,0.4375,16,0
69,139,Two Contrasts Shared,0.90625,32,0
70,140,No Contrast,0,16,0
70,140,One Contrast Privileged,0.5,16,0
70,140,Two Contrasts Shared,1,32,0
70,141,No Contrast,0,16,0
70,141,One Contrast Privileged,0.25,16,0
70,141,Two Contrasts Shared,1,32,0
72,144,No Contrast,0.1875,16,0
72,144,One Contrast Privileged,0.9375,16,0
72,144,Two Contrasts Shared,0.96875,32,0
72,145,No Contrast,0.0625,16,0
72,145,One Contrast Privileged,0.375,16,0
72,145,Two Contrasts Shared,1,32,0
