pair,speaker,crit_half,crit_order_bin,condition,prop_size_adj_use,num_trials,num_NA
10,19,secondhalf,4,One Contrast Privileged,1,5,0
10,19,secondhalf,4,Two Contrasts Shared,1,9,0
10,20,firsthalf,1,No Contrast,0,3,0
10,20,firsthalf,1,One Contrast Privileged,0.6666666666666666,3,0
10,20,firsthalf,1,Two Contrasts Shared,1,7,0
10,20,firsthalf,2,No Contrast,0,4,0
10,20,firsthalf,2,One Contrast Privileged,1,4,0
10,20,firsthalf,2,Two Contrasts Shared,1,8,0
10,20,secondhalf,3,No Contrast,0,4,0
10,20,secondhalf,3,One Contrast Privileged,0.6666666666666666,4,1
10,20,secondhalf,3,Two Contrasts Shared,1,8,0
10,20,secondhalf,4,No Contrast,0,5,0
10,20,secondhalf,4,One Contrast Privileged,1,5,0
10,20,secondhalf,4,Two Contrasts Shared,0.8888888888888888,9,0
11,21,firsthalf,1,No Contrast,0.3333333333333333,3,0
11,21,firsthalf,1,One Contrast Privileged,0.6666666666666666,3,0
11,21,firsthalf,1,Two Contrasts Shared,1,7,0
11,21,firsthalf,2,No Contrast,0,4,0
11,21,firsthalf,2,One Contrast Privileged,1,4,0
11,21,firsthalf,2,Two Contrasts Shared,1,8,0
11,21,secondhalf,3,No Contrast,0,4,0
11,21,secondhalf,3,One Contrast Privileged,1,4,0
11,21,secondhalf,3,Two Contrasts Shared,1,8,0
11,21,secondhalf,4,No Contrast,0,5,0
11,21,secondhalf,4,One Contrast Privileged,0.8,5,0
11,21,secondhalf,4,Two Contrasts Shared,1,9,0
11,22,firsthalf,1,No Contrast,0,3,0
11,22,firsthalf,1,One Contrast Privileged,1,3,0
11,22,firsthalf,1,Two Contrasts Shared,1,7,0
11,22,firsthalf,2,No Contrast,0,4,0
11,22,firsthalf,2,One Contrast Privileged,1,4,0
11,22,firsthalf,2,Two Contrasts Shared,1,8,0
11,22,secondhalf,3,No Contrast,0,4,0
11,22,secondhalf,3,One Contrast Privileged,0.75,4,0
11,22,secondhalf,3,Two Contrasts Shared,1,8,0
11,22,secondhalf,4,No Contrast,0,5,0
11,22,secondhalf,4,One Contrast Privileged,1,5,0
11,22,secondhalf,4,Two Contrasts Shared,1,9,0
14,27,firsthalf,1,No Contrast,0,3,0
14,27,firsthalf,1,One Contrast Privileged,1,3,0
14,27,firsthalf,1,Two Contrasts Shared,1,7,1
14,27,firsthalf,2,No Contrast,0.25,4,0
14,27,firsthalf,2,One Contrast Privileged,0.75,4,0
14,27,firsthalf,2,Two Contrasts Shared,1,8,0
14,27,secondhalf,3,No Contrast,0,4,0
14,27,secondhalf,3,One Contrast Privileged,1,4,0
14,27,secondhalf,3,Two Contrasts Shared,1,8,0
14,27,secondhalf,4,No Contrast,0,5,0
14,27,secondhalf,4,One Contrast Privileged,1,5,0
14,27,secondhalf,4,Two Contrasts Shared,1,9,0
14,28,firsthalf,1,No Contrast,0.6666666666666666,3,0
14,28,firsthalf,1,One Contrast Privileged,1,3,0
14,28,firsthalf,1,Two Contrasts Shared,1,7,0
14,28,firsthalf,2,No Contrast,0,4,0
14,28,firsthalf,2,One Contrast Privileged,0.75,4,0
