pair,speaker,crit_half,condition,prop_size_adj_use,num_trials,num_NA
32,63,firsthalf,No Contrast,0,7,0
32,63,firsthalf,One Contrast Privileged,0.2857142857142857,7,0
32,63,firsthalf,Two Contrasts Shared,1,15,0
32,63,secondhalf,No Contrast,0,9,0
32,63,secondhalf,One Contrast Privileged,0.1111111111111111,9,0
32,63,secondhalf,Two Contrasts Shared,0.9375,17,1
32,64,firsthalf,No Contrast,0,7,0
32,64,firsthalf,One Contrast Privileged,0.8571428571428571,7,0
32,64,firsthalf,Two Contrasts Shared,1,15,0
32,64,secondhalf,No Contrast,0.1111111111111111,9,0
32,64,secondhalf,One Contrast Privileged,0.2222222222222222,9,0
32,64,secondhalf,Two Contrasts Shared,0.9411764705882353,17,0
33,65,firsthalf,No Contrast,0.14285714285714285,7,0
33,65,firsthalf,One Contrast Privileged,1,7,0
33,65,firsthalf,Two Contrasts Shared,0.9333333333333333,15,0
33,65,secondhalf,No Contrast,0,9,0
33,65,secondhalf,One Contrast Privileged,0.6666666666666666,9,0
33,65,secondhalf,Two Contrasts Shared,1,17,0
33,66,firsthalf,No Contrast,0,7,0
33,66,firsthalf,One Contrast Privileged,1,7,0
33,66,firsthalf,Two Contrasts Shared,0.9333333333333333,15,0
33,66,secondhalf,No Contrast,0,9,0
33,66,secondhalf,One Contrast Privileged,1,9,0
33,66,secondhalf,Two Contrasts Shared,0.9411764705882353,17,0
34,67,firsthalf,No Contrast,0,7,0
34,67,firsthalf,One Contrast Privileged,0.42857142857142855,7,0
34,67,firsthalf,Two Contrasts Shared,1,15,0
34,67,secondhalf,No Contrast,0,9,0
34,67,secondhalf,One Contrast Privileged,0,9,0
34,67,secondhalf,Two Contrasts Shared,1,17,0
34,68,firsthalf,No Contrast,0,7,0
34,68,firsthalf,One Contrast Privileged,0,7,0
34,68,firsthalf,Two Contrasts Shared,1,15,0
34,68,secondhalf,No Contrast,0,9,0
34,68,secondhalf,One Contrast Privileged,0,9,0
34,68,secondhalf,Two Contrasts Shared,1,17,0
35,69,firsthalf,No Contrast,0.42857142857142855,7,0
35,69,firsthalf,One Contrast Privileged,1,7,0
35,69,firsthalf,Two Contrasts Shared,1,15,0
35,69,secondhalf,No Contrast,0.5555555555555556,9,0
35,69,secondhalf,One Contrast Privileged,1,9,0
35,69,secondhalf,Two Contrasts Shared,1,17,0
35,70,firsthalf,No Contrast,0.42857142857142855,7,0
35,70,firsthalf,One Contrast Privileged,0.7142857142857143,7,0
35,70,firsthalf,Two Contrasts Shared,1,15,0
35,70,secondhalf,No Contrast,0.6666666666666666,9,0
35,70,secondhalf,One Contrast Privileged,0.7777777777777778,9,0
35,70,secondhalf,Two Contrasts Shared,1,17,0
36,72,firsthalf,No Contrast,0.2857142857142857,7,0
36,72,firsthalf,One Contrast Privileged,0.7142857142857143,7,0
36,72,firsthalf,Two Contrasts Shared,1,15,0
36,72,secondhalf,No Contrast,0.2222222222222222,9,0
36,72,secondhalf,One Contrast Privileged,0.7777777777777778,9,0
36,72,secondhalf,Two Contrasts Shared,1,17,0
36,73,firsthalf,No Contrast,0,7,0
36,73,firsthalf,One Contrast Privileged,0.5714285714285714,7,0
36,73,firsthalf,Two Contrasts Shared,0.9333333333333333,15,0
36,73,secondhalf,No Contrast,0,9,0
36,73,secondhalf,One Contrast Privileged,0.1111111111111111,9,0
36,73,secondhalf,Two Contrasts Shared,1,17,0
38,76,firsthalf,No Contrast,0.42857142857142855,7,0
38,76,firsthalf,One Contrast Privileged,0.8571428571428571,7,0
38,76,firsthalf,Two Contrasts Shared,1,15,0
38,76,secondhalf,No Contrast,0.3333333333333333,9,0
38,76,secondhalf,One Contrast Privileged,0.8888888888888888,9,0
38,76,secondhalf,Two Contrasts Shared,0.9411764705882353,17,0
38,77,firsthalf,No Contrast,0.42857142857142855,7,0
38,77,firsthalf,One Contrast Privileged,1,7,0
38,77,firsthalf,Two Contrasts Shared,1,15,0
38,77,secondhalf,No Contrast,0.7777777777777778,9,0
38,77,secondhalf,One Contrast Privileged,1,9,0
38,77,secondhalf,Two Contrasts Shared,1,17,0
39,78,firsthalf,No Contrast,0.16666666666666666,7,1
39,78,firsthalf,One Contrast Privileged,1,7,0
39,78,firsthalf,Two Contrasts Shared,1,15,0
39,78,secondhalf,No Contrast,0,9,0
